time,counts,events
1699054816.1191742,14773161,branches
1699054816.1191742,138939837,instructions
1699054816.1191742,297513,branch-misses
1699054816.223447,6653150,branches
1699054816.223447,60957008,instructions
1699054816.223447,202315,branch-misses
1699054816.3240151,246970,branches
1699054816.3240151,1856680,instructions
1699054816.3240151,10416,branch-misses
1699054816.4244103,249035,branches
1699054816.4244103,1873071,instructions
1699054816.4244103,10735,branch-misses
1699054816.524769,247584,branches
1699054816.524769,1860635,instructions
1699054816.524769,10305,branch-misses
1699054816.6251242,247161,branches
1699054816.6251242,1858296,instructions
1699054816.6251242,10753,branch-misses
1699054816.725474,245201,branches
1699054816.725474,1843250,instructions
1699054816.725474,10221,branch-misses
1699054816.8258457,246174,branches
1699054816.8258457,1850315,instructions
1699054816.8258457,10645,branch-misses
1699054816.9262018,253324,branches
1699054816.9262018,1907003,instructions
1699054816.9262018,11240,branch-misses
1699054817.0265505,246541,branches
1699054817.0265505,1853921,instructions
1699054817.0265505,10362,branch-misses
1699054817.1269574,247384,branches
1699054817.1269574,1861921,instructions
1699054817.1269574,10227,branch-misses
1699054817.2275567,261667,branches
1699054817.2275567,1970100,instructions
1699054817.2275567,12768,branch-misses
1699054817.3281717,251264,branches
1699054817.3281717,1889671,instructions
1699054817.3281717,11089,branch-misses
1699054817.42868,254333,branches
1699054817.42868,1909629,instructions
1699054817.42868,10811,branch-misses
1699054817.5290785,9878856,branches
1699054817.5290785,79558768,instructions
1699054817.5290785,2174036,branch-misses
1699054817.631099,13961192,branches
1699054817.631099,133678312,instructions
1699054817.631099,593296,branch-misses
1699054817.7351453,8509259,branches
1699054817.7351453,109170194,instructions
1699054817.7351453,222747,branch-misses
1699054817.8393092,12248633,branches
1699054817.8393092,128766104,instructions
1699054817.8393092,288340,branch-misses
1699054817.9432223,14916459,branches
1699054817.9432223,142615757,instructions
1699054817.9432223,427721,branch-misses
1699054818.0471108,14931466,branches
1699054818.0471108,142763728,instructions
1699054818.0471108,418987,branch-misses
1699054818.1510756,14751113,branches
1699054818.1510756,144696232,instructions
1699054818.1510756,450227,branch-misses
1699054818.255072,13563249,branches
1699054818.255072,128776681,instructions
1699054818.255072,835016,branch-misses
1699054818.3590872,985784,branches
1699054818.3590872,11321110,instructions
1699054818.3590872,56994,branch-misses
1699054818.4594798,244281,branches
1699054818.4594798,1836278,instructions
1699054818.4594798,10253,branch-misses
1699054818.5598483,246770,branches
1699054818.5598483,1855078,instructions
1699054818.5598483,10238,branch-misses
1699054818.6603026,247629,branches
1699054818.6603026,1861696,instructions
1699054818.6603026,10231,branch-misses
1699054818.7608914,253446,branches
1699054818.7608914,1908168,instructions
1699054818.7608914,11025,branch-misses
1699054818.8614583,246318,branches
1699054818.8614583,1852002,instructions
1699054818.8614583,10249,branch-misses
1699054818.961836,246210,branches
1699054818.961836,1850838,instructions
1699054818.961836,10162,branch-misses
1699054819.0621908,247649,branches
1699054819.0621908,1861178,instructions
1699054819.0621908,10236,branch-misses
1699054819.1625962,14000125,branches
1699054819.1625962,133211518,instructions
1699054819.1625962,373497,branch-misses
1699054819.2632825,14754387,branches
1699054819.2632825,138808711,instructions
1699054819.2632825,295584,branch-misses
1699054819.3672762,14766576,branches
1699054819.3672762,138841727,instructions
1699054819.3672762,293827,branch-misses
1699054819.4712667,14748781,branches
1699054819.4712667,138642568,instructions
1699054819.4712667,295895,branch-misses
1699054819.5752892,14803307,branches
1699054819.5752892,138972342,instructions
1699054819.5752892,298804,branch-misses
1699054819.6792805,14815810,branches
1699054819.6792805,125220007,instructions
1699054819.6792805,2470776,branch-misses
1699054819.7832017,13755013,branches
1699054819.7832017,133122405,instructions
1699054819.7832017,569049,branch-misses
1699054819.8871522,7826302,branches
1699054819.8871522,109529877,instructions
1699054819.8871522,90766,branch-misses
1699054819.9993262,14749399,branches
1699054819.9993262,144880236,instructions
1699054819.9993262,373132,branch-misses
1699054820.103102,14911491,branches
1699054820.103102,142644681,instructions
1699054820.103102,427403,branch-misses
1699054820.207079,14954950,branches
1699054820.207079,143002963,instructions
1699054820.207079,397850,branch-misses
1699054820.3113155,14147615,branches
1699054820.3113155,139053733,instructions
1699054820.3113155,589580,branch-misses
1699054820.4152198,349898,branches
1699054820.4152198,3027304,instructions
1699054820.4152198,12889,branch-misses
1699054820.5156498,244768,branches
1699054820.5156498,1841778,instructions
1699054820.5156498,10289,branch-misses
1699054820.6160142,249192,branches
1699054820.6160142,1876504,instructions
1699054820.6160142,10776,branch-misses
1699054820.7163703,247480,branches
1699054820.7163703,1863574,instructions
1699054820.7163703,10808,branch-misses
1699054820.81675,326744,branches
1699054820.81675,2430383,instructions
1699054820.81675,19377,branch-misses
1699054820.9173074,247686,branches
1699054820.9173074,1864462,instructions
1699054820.9173074,10824,branch-misses
1699054821.0178108,248252,branches
1699054821.0178108,1869779,instructions
1699054821.0178108,10175,branch-misses
1699054821.1182675,249630,branches
1699054821.1182675,1879859,instructions
1699054821.1182675,10722,branch-misses
1699054821.2188723,249095,branches
1699054821.2188723,1875528,instructions
1699054821.2188723,10496,branch-misses
1699054821.3195481,248875,branches
1699054821.3195481,1873746,instructions
1699054821.3195481,10411,branch-misses
1699054821.4202027,246958,branches
1699054821.4202027,1858223,instructions
1699054821.4202027,10682,branch-misses
1699054821.5208623,250050,branches
1699054821.5208623,1882855,instructions
1699054821.5208623,10860,branch-misses
1699054821.6216292,3670702,branches
1699054821.6216292,34260812,instructions
1699054821.6216292,245901,branch-misses
1699054821.723326,13791948,branches
1699054821.723326,133713732,instructions
1699054821.723326,610679,branch-misses
1699054821.827311,13331476,branches
1699054821.827311,125269381,instructions
1699054821.827311,272124,branch-misses
1699054821.9312823,14090450,branches
1699054821.9312823,132569417,instructions
1699054821.9312823,280140,branch-misses
1699054822.035304,14787692,branches
1699054822.035304,139009936,instructions
1699054822.035304,295466,branch-misses
1699054822.1392834,14774982,branches
1699054822.1392834,138937603,instructions
1699054822.1392834,297982,branch-misses
1699054822.2432895,14793312,branches
1699054822.2432895,130583543,instructions
1699054822.2432895,1596628,branch-misses
1699054822.3472357,14585074,branches
1699054822.3472357,132557737,instructions
1699054822.3472357,1231183,branch-misses
1699054822.4512074,9538983,branches
1699054822.4512074,116891014,instructions
1699054822.4512074,391852,branch-misses
1699054822.5555358,11029036,branches
1699054822.5555358,119608374,instructions
1699054822.5555358,168704,branch-misses
1699054822.6592724,14897366,branches
1699054822.6592724,142498646,instructions
1699054822.6592724,436807,branch-misses
1699054822.763097,14921399,branches
1699054822.763097,142632728,instructions
1699054822.763097,419742,branch-misses
1699054822.867104,14941460,branches
1699054822.867104,143393072,instructions
1699054822.867104,394502,branch-misses
1699054822.971079,2417350,branches
