time,counts,events
1699054743.8571708,14742588,branches
1699054743.8571708,138597768,instructions
1699054743.8571708,297066,branch-misses
1699054743.9614353,11657839,branches
1699054743.9614353,108178590,instructions
1699054743.9614353,301724,branch-misses
1699054744.0620136,251212,branches
1699054744.0620136,1888233,instructions
1699054744.0620136,11150,branch-misses
1699054744.1625776,248001,branches
1699054744.1625776,1865461,instructions
1699054744.1625776,11184,branch-misses
1699054744.262979,359734,branches
1699054744.262979,2722997,instructions
1699054744.262979,19474,branch-misses
1699054744.3634427,271826,branches
1699054744.3634427,2047334,instructions
1699054744.3634427,12973,branch-misses
1699054744.4638789,317955,branches
1699054744.4638789,2401951,instructions
1699054744.4638789,16105,branch-misses
1699054744.6446047,469492,branches
1699054744.6446047,3535043,instructions
1699054744.6446047,22185,branch-misses
1699054744.7452395,248887,branches
1699054744.7452395,1868520,instructions
1699054744.7452395,10501,branch-misses
1699054744.8456395,248188,branches
1699054744.8456395,1866705,instructions
1699054744.8456395,10442,branch-misses
1699054744.946024,248547,branches
1699054744.946024,1870555,instructions
1699054744.946024,10240,branch-misses
1699054745.0466177,245738,branches
1699054745.0466177,1848629,instructions
1699054745.0466177,10373,branch-misses
1699054745.1471798,246845,branches
1699054745.1471798,1856177,instructions
1699054745.1471798,10170,branch-misses
1699054745.2477322,247952,branches
1699054745.2477322,1863851,instructions
1699054745.2477322,10204,branch-misses
1699054745.3482225,251132,branches
1699054745.3482225,1889112,instructions
1699054745.3482225,10804,branch-misses
1699054745.4488807,247721,branches
1699054745.4488807,1863685,instructions
1699054745.4488807,10482,branch-misses
1699054745.5495543,245916,branches
1699054745.5495543,1849469,instructions
1699054745.5495543,10147,branch-misses
1699054745.6502454,248371,branches
1699054745.6502454,1867399,instructions
1699054745.6502454,10163,branch-misses
1699054745.7508965,249210,branches
1699054745.7508965,1874160,instructions
1699054745.7508965,11198,branch-misses
1699054745.8518498,247460,branches
1699054745.8518498,1861028,instructions
1699054745.8518498,10594,branch-misses
1699054745.9525828,249002,branches
1699054745.9525828,1873702,instructions
1699054745.9525828,10440,branch-misses
1699054746.05329,244914,branches
1699054746.05329,1840632,instructions
1699054746.05329,10267,branch-misses
1699054746.153931,248590,branches
1699054746.153931,1867978,instructions
1699054746.153931,10655,branch-misses
1699054746.2545807,249554,branches
