time,counts,events
13.435169611,485143398,instructions
13.435169611,1086842,branch-misses
13.636356918,58964117,branches
13.636356918,560779819,instructions
13.636356918,1722963,branch-misses
13.837440951,55549281,branches
13.837440951,536482019,instructions
13.837440951,2531084,branch-misses
14.038637743,59946358,branches
14.038637743,548983341,instructions
14.038637743,2282756,branch-misses
14.240629418,27623234,branches
14.240629418,254433772,instructions
14.240629418,646450,branch-misses
14.442975097,27514912,branches
14.442975097,254642863,instructions
14.442975097,657699,branch-misses
14.645134529,27022000,branches
14.645134529,250804589,instructions
14.645134529,603006,branch-misses
14.847131835,27187058,branches
14.847131835,250413395,instructions
14.847131835,1148059,branch-misses
15.049139558,30875406,branches
15.049139558,260719239,instructions
15.049139558,4047489,branch-misses
15.250984262,26590817,branches
15.250984262,252959640,instructions
15.250984262,1433533,branch-misses
15.453003652,18507318,branches
15.453003652,233939801,instructions
15.453003652,559915,branch-misses
15.661252778,35172066,branches
15.661252778,335749161,instructions
15.661252778,1301974,branch-misses
15.877546512,35846654,branches
15.877546512,330969976,instructions
15.877546512,1346924,branch-misses
16.079403619,29892437,branches
16.079403619,282482571,instructions
16.079403619,883228,branch-misses
16.281006824,29344830,branches
16.281006824,280996063,instructions
16.281006824,1016412,branch-misses
16.482549874,27371499,branches
16.482549874,263061028,instructions
16.482549874,1534038,branch-misses
16.684440054,28004949,branches
16.684440054,265724419,instructions
16.684440054,1067391,branch-misses
16.88644477,26912383,branches
16.88644477,249797583,instructions
16.88644477,602404,branch-misses
17.08843985,26948122,branches
17.08843985,250217450,instructions
17.08843985,597940,branch-misses
17.290369046,29339396,branches
17.290369046,267960787,instructions
17.290369046,799896,branch-misses
17.493596814,51500722,branches
17.493596814,465323826,instructions
17.493596814,1724086,branch-misses
17.694804148,57519299,branches
17.694804148,511365353,instructions
17.694804148,5795953,branch-misses
17.896032894,40724540,branches
17.896032894,464499075,instructions
17.896032894,1073659,branch-misses
18.097237422,58621490,branches
18.097237422,562041226,instructions
18.097237422,1655129,branch-misses
18.298273046,57186233,branches
18.298273046,548977182,instructions
18.298273046,2381359,branch-misses
18.499444918,53902028,branches
18.499444918,511497277,instructions
18.499444918,1830613,branch-misses
18.703114248,51791105,branches
18.703114248,481803851,instructions
18.703114248,1192695,branch-misses
18.904387688,51269034,branches
18.904387688,477922480,instructions
18.904387688,1537407,branch-misses
19.105590503,63256090,branches
19.105590503,550823180,instructions
19.105590503,6155220,branch-misses
19.30749638,22181263,branches
19.30749638,240407715,instructions
19.30749638,735801,branch-misses
19.509548868,21745115,branches
19.509548868,241469083,instructions
19.509548868,465877,branch-misses
19.711453132,28130307,branches
19.711453132,275468522,instructions
19.711453132,829766,branch-misses
19.913290683,29874139,branches
19.913290683,282211358,instructions
19.913290683,881952,branch-misses
20.114847666,29813494,branches
20.114847666,284356159,instructions
20.114847666,994664,branch-misses
20.316675165,28340223,branches
20.316675165,269145213,instructions
20.316675165,1264189,branch-misses
20.518444019,27862065,branches
