time,counts,events
1699054668.293142,244791,branches
1699054668.293142,1834606,instructions
1699054668.293142,11270,branch-misses
1699054668.3937464,250283,branches
1699054668.3937464,1880741,instructions
1699054668.3937464,11083,branch-misses
1699054668.4941635,244987,branches
1699054668.4941635,1841396,instructions
1699054668.4941635,10161,branch-misses
1699054668.5945373,249297,branches
1699054668.5945373,1875781,instructions
1699054668.5945373,10719,branch-misses
1699054668.6949193,247264,branches
1699054668.6949193,1857722,instructions
1699054668.6949193,10786,branch-misses
1699054668.7952838,246829,branches
1699054668.7952838,1854758,instructions
1699054668.7952838,10248,branch-misses
1699054668.8956418,245795,branches
1699054668.8956418,1847541,instructions
1699054668.8956418,10330,branch-misses
1699054668.9960012,246255,branches
1699054668.9960012,1850563,instructions
1699054668.9960012,10069,branch-misses
1699054669.0963643,253210,branches
1699054669.0963643,1906368,instructions
1699054669.0963643,11206,branch-misses
1699054669.1967325,248127,branches
1699054669.1967325,1864526,instructions
1699054669.1967325,10656,branch-misses
1699054669.2970912,246961,branches
1699054669.2970912,1855877,instructions
1699054669.2970912,10103,branch-misses
1699054669.3974414,245698,branches
1699054669.3974414,1846479,instructions
1699054669.3974414,10112,branch-misses
1699054669.497806,249918,branches
1699054669.497806,1882363,instructions
1699054669.497806,10475,branch-misses
1699054669.5984468,245320,branches
1699054669.5984468,1844521,instructions
1699054669.5984468,10258,branch-misses
1699054669.6990073,247687,branches
1699054669.6990073,1861628,instructions
1699054669.6990073,10377,branch-misses
1699054669.799404,247562,branches
1699054669.799404,1860019,instructions
1699054669.799404,10270,branch-misses
1699054669.900092,248425,branches
1699054669.900092,1866629,instructions
1699054669.900092,10248,branch-misses
1699054670.0007513,250795,branches
1699054670.0007513,1886183,instructions
1699054670.0007513,10789,branch-misses
1699054670.1014235,244863,branches
1699054670.1014235,1839879,instructions
1699054670.1014235,10182,branch-misses
1699054670.202077,249459,branches
1699054670.202077,1874632,instructions
1699054670.202077,10324,branch-misses
1699054670.3027678,246605,branches
1699054670.3027678,1853954,instructions
1699054670.3027678,10248,branch-misses
1699054670.4034374,247381,branches
1699054670.4034374,1860214,instructions
1699054670.4034374,10291,branch-misses
1699054670.5040877,249260,branches
1699054670.5040877,1879143,instructions
1699054670.5040877,10469,branch-misses
1699054670.6048107,246808,branches
1699054670.6048107,1852259,instructions
1699054670.6048107,10232,branch-misses
1699054670.7054749,250041,branches
1699054670.7054749,1880099,instructions
1699054670.7054749,10574,branch-misses
1699054670.8062418,290187,branches
1699054670.8062418,2175303,instructions
1699054670.8062418,14272,branch-misses
1699054670.9071138,251936,branches
1699054670.9071138,1896582,instructions
1699054670.9071138,11157,branch-misses
1699054671.0080209,249622,branches
1699054671.0080209,1876309,instructions
1699054671.0080209,10509,branch-misses
1699054671.1089272,245134,branches
1699054671.1089272,1845939,instructions
1699054671.1089272,10088,branch-misses
1699054671.2100089,251011,branches
1699054671.2100089,1883528,instructions
1699054671.2100089,10863,branch-misses
1699054671.3105755,246734,branches
1699054671.3105755,1855973,instructions
1699054671.3105755,10775,branch-misses
1699054671.41095,249662,branches
1699054671.41095,1878782,instructions
1699054671.41095,11094,branch-misses
1699054671.511319,246224,branches
1699054671.511319,1850851,instructions
1699054671.511319,10196,branch-misses
1699054671.6116889,246338,branches
1699054671.6116889,1851840,instructions
1699054671.6116889,10250,branch-misses
1699054671.712051,249199,branches
1699054671.712051,1874493,instructions
1699054671.712051,10192,branch-misses
1699054671.8124027,248244,branches
1699054671.8124027,1876211,instructions
1699054671.8124027,10963,branch-misses
1699054671.9127884,247370,branches
1699054671.9127884,1853708,instructions
1699054671.9127884,10199,branch-misses
1699054672.013322,319319,branches
1699054672.013322,2409696,instructions
1699054672.013322,16781,branch-misses
1699054672.1139748,353006,branches
1699054672.1139748,2672301,instructions
1699054672.1139748,18352,branch-misses
1699054672.214468,247153,branches
1699054672.214468,1858834,instructions
1699054672.214468,10591,branch-misses
1699054672.3148487,267707,branches
1699054672.3148487,2016914,instructions
1699054672.3148487,13213,branch-misses
1699054672.4152164,246384,branches
1699054672.4152164,1854948,instructions
1699054672.4152164,10817,branch-misses
1699054672.5155659,247526,branches
1699054672.5155659,1863369,instructions
1699054672.5155659,10347,branch-misses
1699054672.615936,247365,branches
1699054672.615936,1862607,instructions
1699054672.615936,10470,branch-misses
1699054672.7169137,254918,branches
1699054672.7169137,1923232,instructions
1699054672.7169137,10934,branch-misses
1699054672.817466,247843,branches
1699054672.817466,1865834,instructions
1699054672.817466,10125,branch-misses
1699054672.9178553,246525,branches
1699054672.9178553,1855923,instructions
1699054672.9178553,10276,branch-misses
1699054673.0183678,249386,branches
1699054673.0183678,1877194,instructions
1699054673.0183678,10546,branch-misses
1699054673.1187294,245837,branches
1699054673.1187294,1850803,instructions
1699054673.1187294,10610,branch-misses
1699054673.2190804,249579,branches
1699054673.2190804,1880570,instructions
1699054673.2190804,10883,branch-misses
1699054673.319515,248239,branches
1699054673.319515,1868920,instructions
1699054673.319515,10394,branch-misses
1699054673.419871,247025,branches
1699054673.419871,1858689,instructions
1699054673.419871,10190,branch-misses
1699054673.5202236,247049,branches
1699054673.5202236,1858512,instructions
1699054673.5202236,10192,branch-misses
1699054673.620579,244383,branches
1699054673.620579,1838370,instructions
1699054673.620579,9902,branch-misses
1699054673.7209413,250294,branches
1699054673.7209413,1885538,instructions
1699054673.7209413,10733,branch-misses
1699054673.8213062,245113,branches
1699054673.8213062,1843718,instructions
1699054673.8213062,10474,branch-misses
1699054673.9216914,246399,branches
1699054673.9216914,1853490,instructions
1699054673.9216914,10251,branch-misses
1699054674.0220602,246267,branches
1699054674.0220602,1852851,instructions
1699054674.0220602,10307,branch-misses
1699054674.122414,248719,branches
1699054674.122414,1872829,instructions
1699054674.122414,10920,branch-misses
1699054674.222806,246449,branches
1699054674.222806,1856064,instructions
1699054674.222806,10426,branch-misses
1699054674.323375,245866,branches
1699054674.323375,1851795,instructions
1699054674.323375,10524,branch-misses
1699054674.4239316,246093,branches
1699054674.4239316,1851182,instructions
1699054674.4239316,9970,branch-misses
1699054674.524329,246973,branches
1699054674.524329,1857827,instructions
1699054674.524329,10202,branch-misses
1699054674.6247842,251096,branches
1699054674.6247842,1891054,instructions
1699054674.6247842,10505,branch-misses
1699054674.7251532,244383,branches
1699054674.7251532,1838121,instructions
1699054674.7251532,10231,branch-misses
1699054674.8255148,248554,branches
1699054674.8255148,1869303,instructions
1699054674.8255148,10619,branch-misses
1699054674.9258723,245381,branches
1699054674.9258723,1845656,instructions
1699054674.9258723,9933,branch-misses
1699054675.026228,246355,branches
1699054675.026228,1853311,instructions
1699054675.026228,9909,branch-misses
1699054675.1265976,249444,branches
1699054675.1265976,1879490,instructions
