time,counts,events
1699054383.6971412,499778,branches
1699054383.6971412,3759219,instructions
1699054383.6971412,22923,branch-misses
1699054383.7978697,498283,branches
1699054383.7978697,3750888,instructions
1699054383.7978697,20987,branch-misses
1699054383.8985426,489531,branches
1699054383.8985426,3687796,instructions
1699054383.8985426,20780,branch-misses
1699054383.999199,500648,branches
1699054383.999199,3771193,instructions
1699054383.999199,22025,branch-misses
1699054384.0996714,493526,branches
1699054384.0996714,3712501,instructions
1699054384.0996714,21360,branch-misses
1699054384.200125,497542,branches
1699054384.200125,3743785,instructions
1699054384.200125,20921,branch-misses
1699054384.3005893,493320,branches
1699054384.3005893,3710680,instructions
1699054384.3005893,20733,branch-misses
1699054384.4010515,492868,branches
1699054384.4010515,3710216,instructions
1699054384.4010515,20337,branch-misses
1699054384.501494,498514,branches
1699054384.501494,3752537,instructions
1699054384.501494,20741,branch-misses
1699054384.60197,490069,branches
1699054384.60197,3687640,instructions
1699054384.60197,20700,branch-misses
1699054384.7024114,495569,branches
1699054384.7024114,3728786,instructions
1699054384.7024114,20599,branch-misses
1699054384.802861,492018,branches
1699054384.802861,3700616,instructions
1699054384.802861,20362,branch-misses
1699054384.9033313,499231,branches
1699054384.9033313,3759148,instructions
1699054384.9033313,20725,branch-misses
1699054385.0038438,493527,branches
1699054385.0038438,3713464,instructions
1699054385.0038438,20359,branch-misses
1699054385.1042848,492850,branches
1699054385.1042848,3708790,instructions
1699054385.1042848,20157,branch-misses
1699054385.2047172,496466,branches
1699054385.2047172,3735252,instructions
1699054385.2047172,20136,branch-misses
1699054385.3051486,494966,branches
1699054385.3051486,3724008,instructions
1699054385.3051486,20765,branch-misses
1699054385.405611,491043,branches
1699054385.405611,3699580,instructions
1699054385.405611,20212,branch-misses
1699054385.5062866,490637,branches
1699054385.5062866,3694395,instructions
1699054385.5062866,20922,branch-misses
1699054385.6069505,536187,branches
1699054385.6069505,4020983,instructions
1699054385.6069505,26106,branch-misses
1699054385.7074504,490735,branches
1699054385.7074504,3692178,instructions
1699054385.7074504,21208,branch-misses
1699054385.807908,494807,branches
1699054385.807908,3725187,instructions
1699054385.807908,21449,branch-misses
1699054385.9083931,494805,branches
1699054385.9083931,3723158,instructions
1699054385.9083931,21614,branch-misses
1699054386.0088625,497463,branches
1699054386.0088625,3745706,instructions
1699054386.0088625,21597,branch-misses
1699054386.1093433,491285,branches
1699054386.1093433,3692633,instructions
1699054386.1093433,20960,branch-misses
1699054386.2099092,490000,branches
1699054386.2099092,3686087,instructions
1699054386.2099092,20470,branch-misses
1699054386.3103557,502371,branches
1699054386.3103557,3781984,instructions
1699054386.3103557,21125,branch-misses
1699054386.4108064,491192,branches
1699054386.4108064,3695787,instructions
1699054386.4108064,20416,branch-misses
1699054386.511244,493565,branches
1699054386.511244,3712863,instructions
1699054386.511244,20564,branch-misses
1699054386.6117017,496024,branches
1699054386.6117017,3731414,instructions
1699054386.6117017,20580,branch-misses
1699054386.7125564,498113,branches
1699054386.7125564,3749983,instructions
1699054386.7125564,20591,branch-misses
1699054386.8133593,495393,branches
1699054386.8133593,3728236,instructions
1699054386.8133593,20370,branch-misses
1699054386.9143548,491671,branches
1699054386.9143548,3700195,instructions
1699054386.9143548,20046,branch-misses
1699054387.0156627,503165,branches
1699054387.0156627,3793401,instructions
1699054387.0156627,21009,branch-misses
1699054387.1166728,495242,branches
1699054387.1166728,3727561,instructions
1699054387.1166728,20755,branch-misses
1699054387.2174084,513599,branches
1699054387.2174084,3867248,instructions
1699054387.2174084,22870,branch-misses
1699054387.318023,562300,branches
1699054387.318023,4242338,instructions
1699054387.318023,27002,branch-misses
1699054387.418663,742164,branches
1699054387.418663,5620982,instructions
1699054387.418663,38796,branch-misses
1699054387.5194714,552300,branches
1699054387.5194714,4165702,instructions
1699054387.5194714,26059,branch-misses
1699054387.6199996,531701,branches
1699054387.6199996,4006042,instructions
1699054387.6199996,25404,branch-misses
1699054387.720488,495526,branches
1699054387.720488,3732263,instructions
1699054387.720488,21187,branch-misses
1699054387.8209674,493849,branches
1699054387.8209674,3721488,instructions
1699054387.8209674,21564,branch-misses
1699054387.9214444,493093,branches
1699054387.9214444,3714819,instructions
1699054387.9214444,21339,branch-misses
1699054388.0218945,499754,branches
1699054388.0218945,3764057,instructions
1699054388.0218945,21176,branch-misses
1699054388.1223497,493704,branches
1699054388.1223497,3721695,instructions
1699054388.1223497,21365,branch-misses
1699054388.222899,491166,branches
1699054388.222899,3698501,instructions
1699054388.222899,20205,branch-misses
1699054388.323363,494332,branches
1699054388.323363,3724889,instructions
1699054388.323363,20757,branch-misses
1699054388.4238193,496742,branches
1699054388.4238193,3736964,instructions
1699054388.4238193,20516,branch-misses
1699054388.5243,491079,branches
1699054388.5243,3700316,instructions
1699054388.5243,20612,branch-misses
1699054388.625026,493266,branches
1699054388.625026,3720760,instructions
1699054388.625026,20830,branch-misses
1699054388.7257514,497755,branches
1699054388.7257514,3748764,instructions
1699054388.7257514,20679,branch-misses
1699054388.8262382,632269,branches
1699054388.8262382,4701325,instructions
1699054388.8262382,35433,branch-misses
1699054388.926886,494129,branches
1699054388.926886,3720625,instructions
1699054388.926886,21537,branch-misses
1699054389.0273573,495113,branches
1699054389.0273573,3731604,instructions
1699054389.0273573,21323,branch-misses
1699054389.1278389,499050,branches
1699054389.1278389,3761063,instructions
1699054389.1278389,20898,branch-misses
1699054389.2282786,491283,branches
1699054389.2282786,3701628,instructions
1699054389.2282786,20661,branch-misses
1699054389.3287232,495839,branches
1699054389.3287232,3734207,instructions
1699054389.3287232,20626,branch-misses
1699054389.4291747,497184,branches
1699054389.4291747,3744745,instructions
1699054389.4291747,20592,branch-misses
1699054389.5296154,492102,branches
1699054389.5296154,3708283,instructions
1699054389.5296154,20720,branch-misses
1699054389.6300502,494324,branches
1699054389.6300502,3725942,instructions
1699054389.6300502,20709,branch-misses
1699054389.7304971,493755,branches
1699054389.7304971,3719772,instructions
