time,counts,events
1699054983.5821753,14766661,branches
1699054983.5821753,138849657,instructions
1699054983.5821753,297119,branch-misses
1699054983.6864154,14383662,branches
1699054983.6864154,130807103,instructions
1699054983.6864154,1110591,branch-misses
1699054983.790233,15149581,branches
1699054983.790233,132923885,instructions
1699054983.790233,1662774,branch-misses
1699054983.8941445,10644024,branches
1699054983.8941445,114394276,instructions
1699054983.8941445,456630,branch-misses
1699054983.9981852,9813227,branches
1699054983.9981852,121641517,instructions
1699054983.9981852,136376,branch-misses
1699054984.102261,14884997,branches
1699054984.102261,142382696,instructions
1699054984.102261,449636,branch-misses
1699054984.2060986,14903401,branches
1699054984.2060986,142529593,instructions
1699054984.2060986,437792,branch-misses
1699054984.310081,14954934,branches
1699054984.310081,143324092,instructions
1699054984.310081,391794,branch-misses
1699054984.4140854,13819180,branches
1699054984.4140854,135412119,instructions
1699054984.4140854,724928,branch-misses
1699054984.5181608,13809548,branches
1699054984.5181608,133875824,instructions
1699054984.5181608,608994,branch-misses
1699054984.6223063,14754915,branches
1699054984.6223063,138713597,instructions
1699054984.6223063,297912,branch-misses
1699054984.7262802,13151880,branches
1699054984.7262802,123667916,instructions
1699054984.7262802,263756,branch-misses
1699054984.8303173,14173539,branches
1699054984.8303173,133237126,instructions
1699054984.8303173,282704,branch-misses
1699054984.934338,14744978,branches
1699054984.934338,138654626,instructions
1699054984.934338,297449,branch-misses
1699054985.0382783,14765329,branches
1699054985.0382783,130422381,instructions
1699054985.0382783,1583537,branch-misses
1699054985.142213,14619828,branches
1699054985.142213,132763541,instructions
1699054985.142213,1226051,branch-misses
1699054985.2461038,9553311,branches
1699054985.2461038,117010421,instructions
1699054985.2461038,394216,branch-misses
1699054985.3504715,11059224,branches
1699054985.3504715,119928029,instructions
1699054985.3504715,184534,branch-misses
1699054985.4542568,14890099,branches
1699054985.4542568,142425750,instructions
1699054985.4542568,446800,branch-misses
1699054985.5580904,14900195,branches
1699054985.5580904,142434839,instructions
1699054985.5580904,445767,branch-misses
1699054985.6620781,14920640,branches
1699054985.6620781,143184614,instructions
1699054985.6620781,413687,branch-misses
1699054985.7660682,13696383,branches
1699054985.7660682,133831186,instructions
1699054985.7660682,773726,branch-misses
1699054985.8701377,13938399,branches
1699054985.8701377,135099169,instructions
1699054985.8701377,547848,branch-misses
1699054985.9743087,14756356,branches
1699054985.9743087,138758366,instructions
1699054985.9743087,296934,branch-misses
1699054986.0782802,14761489,branches
1699054986.0782802,138857988,instructions
1699054986.0782802,293623,branch-misses
1699054986.1823356,14750760,branches
1699054986.1823356,138666402,instructions
1699054986.1823356,293732,branch-misses
1699054986.2862358,13235730,branches
1699054986.2862358,124411531,instructions
1699054986.2862358,269557,branch-misses
1699054986.3903344,14443132,branches
1699054986.3903344,123457714,instructions
1699054986.3903344,2033973,branch-misses
1699054986.4942389,14195398,branches
1699054986.4942389,133294375,instructions
1699054986.4942389,812299,branch-misses
1699054986.59818,9054665,branches
1699054986.59818,113266146,instructions
1699054986.59818,324371,branch-misses
1699054986.7023368,11625245,branches
1699054986.7023368,124037897,instructions
1699054986.7023368,227690,branch-misses
1699054986.8062544,14905370,branches
1699054986.8062544,142508689,instructions
1699054986.8062544,433505,branch-misses
1699054986.910132,14921520,branches
1699054986.910132,142627271,instructions
1699054986.910132,422503,branch-misses
1699054987.0140743,14920472,branches
1699054987.0140743,143221603,instructions
1699054987.0140743,404337,branch-misses
1699054987.1180694,13535309,branches
1699054987.1180694,131982949,instructions
1699054987.1180694,822715,branch-misses
1699054987.2221065,14066035,branches
1699054987.2221065,136313188,instructions
1699054987.2221065,485041,branch-misses
1699054987.3262882,14748726,branches
1699054987.3262882,138737924,instructions
1699054987.3262882,295426,branch-misses
1699054987.4302788,14731036,branches
1699054987.4302788,138496059,instructions
1699054987.4302788,295050,branch-misses
1699054987.5343692,14627339,branches
1699054987.5343692,137492878,instructions
1699054987.5343692,292890,branch-misses
1699054987.638272,14739696,branches
1699054987.638272,138575832,instructions
1699054987.638272,299326,branch-misses
1699054987.7422915,15079442,branches
1699054987.7422915,127425734,instructions
1699054987.7422915,2409182,branch-misses
1699054987.8462434,14017023,branches
1699054987.8462434,134559810,instructions
1699054987.8462434,583432,branch-misses
1699054987.9503043,7973524,branches
1699054987.9503043,104685109,instructions
1699054987.9503043,123259,branch-misses
1699054988.0542903,12845637,branches
1699054988.0542903,133579144,instructions
1699054988.0542903,340228,branch-misses
1699054988.1581817,14918047,branches
1699054988.1581817,142741294,instructions
1699054988.1581817,419330,branch-misses
1699054988.2620935,14936671,branches
1699054988.2620935,142793617,instructions
1699054988.2620935,417558,branch-misses
1699054988.366066,14637136,branches
1699054988.366066,143197417,instructions
1699054988.366066,523882,branch-misses
1699054988.4700959,13245902,branches
1699054988.4700959,128024461,instructions
1699054988.4700959,784414,branch-misses
1699054988.5742407,14589884,branches
1699054988.5742407,139045627,instructions
1699054988.5742407,373928,branch-misses
1699054988.678278,14746187,branches
1699054988.678278,138752405,instructions
1699054988.678278,294797,branch-misses
1699054988.7823513,14421872,branches
1699054988.7823513,135462692,instructions
1699054988.7823513,292571,branch-misses
1699054988.8862464,14754425,branches
1699054988.8862464,138710222,instructions
1699054988.8862464,296382,branch-misses
1699054988.9902902,14618464,branches
1699054988.9902902,136186454,instructions
1699054988.9902902,329192,branch-misses
1699054989.0942295,15047505,branches
1699054989.0942295,126967150,instructions
1699054989.0942295,2440370,branch-misses
1699054989.198107,13247180,branches
1699054989.198107,130302940,instructions
1699054989.198107,548526,branch-misses
1699054989.3021991,7359051,branches
1699054989.3021991,104197787,instructions
1699054989.3021991,83832,branch-misses
1699054989.4062796,14553794,branches
1699054989.4062796,143410108,instructions
1699054989.4062796,372494,branch-misses
1699054989.510248,14857717,branches
1699054989.510248,142174947,instructions
1699054989.510248,426737,branch-misses
1699054989.614218,14951557,branches
1699054989.614218,142953187,instructions
1699054989.614218,409382,branch-misses
1699054989.7180715,14315729,branches
1699054989.7180715,140484826,instructions
1699054989.7180715,590649,branch-misses
1699054989.8220756,13430206,branches
1699054989.8220756,130616411,instructions
1699054989.8220756,774575,branch-misses
1699054989.9263616,14688734,branches
1699054989.9263616,138253551,instructions
