time,counts,events
1699054185.6391585,15085034,branches
1699054185.6391585,141305284,instructions
1699054185.6391585,310584,branch-misses
1699054185.7434688,12137230,branches
1699054185.7434688,112235911,instructions
1699054185.7434688,316386,branch-misses
1699054185.8441477,491209,branches
1699054185.8441477,3696275,instructions
1699054185.8441477,20827,branch-misses
1699054185.9446664,491614,branches
1699054185.9446664,3699293,instructions
1699054185.9446664,20622,branch-misses
1699054186.04514,497137,branches
1699054186.04514,3742589,instructions
1699054186.04514,21329,branch-misses
1699054186.1456053,498117,branches
1699054186.1456053,3748531,instructions
1699054186.1456053,20798,branch-misses
1699054186.2460506,495428,branches
1699054186.2460506,3729647,instructions
1699054186.2460506,21191,branch-misses
1699054186.3464944,490264,branches
1699054186.3464944,3686628,instructions
1699054186.3464944,21324,branch-misses
1699054186.4469292,498269,branches
1699054186.4469292,3748641,instructions
1699054186.4469292,21133,branch-misses
1699054186.5474057,492743,branches
1699054186.5474057,3712633,instructions
1699054186.5474057,20546,branch-misses
1699054186.6480808,10424272,branches
1699054186.6480808,84232795,instructions
1699054186.6480808,2204264,branch-misses
1699054186.7513666,14271060,branches
1699054186.7513666,136185818,instructions
1699054186.7513666,581650,branch-misses
1699054186.8553536,7834170,branches
1699054186.8553536,101472013,instructions
1699054186.8553536,212983,branch-misses
1699054186.9597816,8687587,branches
1699054186.9597816,94593443,instructions
1699054186.9597816,158693,branch-misses
1699054187.0633864,25302797,branches
1699054187.0633864,227030998,instructions
1699054187.0633864,2670161,branch-misses
1699054187.1712158,30039953,branches
1699054187.1712158,287589758,instructions
1699054187.1712158,1069315,branch-misses
1699054187.2792313,24045612,branches
1699054187.2792313,258913924,instructions
1699054187.2792313,569736,branch-misses
1699054187.3873072,27621241,branches
1699054187.3873072,277632973,instructions
1699054187.3873072,1171176,branch-misses
1699054187.4952383,18390734,branches
1699054187.4952383,177562508,instructions
1699054187.4952383,663768,branch-misses
1699054187.5991611,15167138,branches
1699054187.5991611,144413271,instructions
1699054187.5991611,451795,branch-misses
1699054187.7031314,14823820,branches
1699054187.7031314,144534886,instructions
1699054187.7031314,563833,branch-misses
1699054187.807155,12477583,branches
1699054187.807155,120514432,instructions
1699054187.807155,754202,branch-misses
1699054187.907635,500810,branches
1699054187.907635,3771221,instructions
1699054187.907635,22062,branch-misses
1699054188.0080895,491095,branches
1699054188.0080895,3694559,instructions
1699054188.0080895,21137,branch-misses
1699054188.1085567,493280,branches
1699054188.1085567,3717528,instructions
1699054188.1085567,20877,branch-misses
1699054188.2092814,498578,branches
1699054188.2092814,3755854,instructions
1699054188.2092814,21010,branch-misses
1699054188.309997,9056375,branches
1699054188.309997,86120809,instructions
1699054188.309997,280105,branch-misses
1699054188.411449,14938037,branches
1699054188.411449,139968125,instructions
1699054188.411449,306784,branch-misses
1699054188.5154421,14937774,branches
1699054188.5154421,140042747,instructions
1699054188.5154421,303165,branch-misses
1699054188.6194038,18557025,branches
1699054188.6194038,175008168,instructions
1699054188.6194038,475336,branch-misses
1699054188.7274663,26820302,branches
1699054188.7274663,252737998,instructions
1699054188.7274663,537354,branch-misses
1699054188.835377,28582081,branches
1699054188.835377,259849286,instructions
1699054188.835377,1923424,branch-misses
1699054188.9488065,31420474,branches
1699054188.9488065,291769667,instructions
1699054188.9488065,1540794,branch-misses
1699054189.0553563,24385315,branches
1699054189.0553563,257584864,instructions
1699054189.0553563,639628,branch-misses
1699054189.1634061,26764532,branches
1699054189.1634061,263330783,instructions
1699054189.1634061,1203906,branch-misses
1699054189.2712574,31340622,branches
1699054189.2712574,286231102,instructions
1699054189.2712574,2288443,branch-misses
1699054189.3791828,26264419,branches
1699054189.3791828,268864816,instructions
1699054189.3791828,895924,branch-misses
1699054189.4871814,26127879,branches
1699054189.4871814,275591764,instructions
1699054189.4871814,665370,branch-misses
1699054189.5953555,19830929,branches
1699054189.5953555,190363796,instructions
1699054189.5953555,686558,branch-misses
1699054189.6993475,15098570,branches
1699054189.6993475,143793138,instructions
1699054189.6993475,436004,branch-misses
1699054189.8032598,15180703,branches
1699054189.8032598,145163548,instructions
1699054189.8032598,426049,branch-misses
1699054189.9073224,9488131,branches
1699054189.9073224,93698301,instructions
1699054189.9073224,473296,branch-misses
1699054190.0078387,493578,branches
1699054190.0078387,3716391,instructions
1699054190.0078387,21029,branch-misses
1699054190.108289,490850,branches
1699054190.108289,3696545,instructions
1699054190.108289,20492,branch-misses
1699054190.2087395,503385,branches
1699054190.2087395,3790096,instructions
1699054190.2087395,21333,branch-misses
1699054190.3091798,490611,branches
1699054190.3091798,3695344,instructions
1699054190.3091798,20916,branch-misses
1699054190.4096396,500260,branches
1699054190.4096396,3769711,instructions
1699054190.4096396,21362,branch-misses
1699054190.5101469,518168,branches
1699054190.5101469,3903093,instructions
1699054190.5101469,24294,branch-misses
1699054190.610631,499426,branches
1699054190.610631,3768500,instructions
1699054190.610631,21313,branch-misses
1699054190.7111175,497894,branches
1699054190.7111175,3743562,instructions
