time,counts,events
1699056266.4322019,27261151,branches
1699056266.4322019,255739638,instructions
1699056266.4322019,556316,branch-misses
1699056266.5404944,21372049,branches
1699056266.5404944,198871153,instructions
1699056266.5404944,506257,branch-misses
1699056266.6441967,1904549,branches
1699056266.6441967,15261804,instructions
1699056266.6441967,117363,branch-misses
1699056266.744909,882511,branches
1699056266.744909,6587866,instructions
1699056266.744909,46642,branch-misses
1699056266.8456268,724044,branches
1699056266.8456268,5450493,instructions
1699056266.8456268,30244,branch-misses
1699056266.9461584,732021,branches
1699056266.9461584,5509902,instructions
1699056266.9461584,30072,branch-misses
1699056267.0466888,728873,branches
1699056267.0466888,5488649,instructions
1699056267.0466888,31246,branch-misses
1699056267.1472068,731394,branches
1699056267.1472068,5505543,instructions
1699056267.1472068,30659,branch-misses
1699056267.2477338,726415,branches
1699056267.2477338,5469157,instructions
1699056267.2477338,30020,branch-misses
1699056267.3482656,732092,branches
1699056267.3482656,5510696,instructions
1699056267.3482656,30436,branch-misses
1699056267.4488049,732196,branches
1699056267.4488049,5512953,instructions
1699056267.4488049,31040,branch-misses
1699056267.549333,722276,branches
1699056267.549333,5440488,instructions
1699056267.549333,30188,branch-misses
1699056267.6498623,727440,branches
1699056267.6498623,5471718,instructions
1699056267.6498623,30627,branch-misses
1699056267.7504616,725475,branches
1699056267.7504616,5461683,instructions
1699056267.7504616,30551,branch-misses
1699056267.8510067,724658,branches
1699056267.8510067,5455691,instructions
1699056267.8510067,30160,branch-misses
1699056267.9515243,721480,branches
1699056267.9515243,5429656,instructions
1699056267.9515243,30268,branch-misses
1699056268.052067,729147,branches
1699056268.052067,5488816,instructions
1699056268.052067,30373,branch-misses
1699056268.1525867,726303,branches
1699056268.1525867,5467634,instructions
1699056268.1525867,30320,branch-misses
1699056268.2531042,719494,branches
1699056268.2531042,5414227,instructions
1699056268.2531042,30246,branch-misses
1699056268.353631,724894,branches
1699056268.353631,5455935,instructions
1699056268.353631,29918,branch-misses
1699056268.4541426,721471,branches
