episode-return, value-loss, policy-loss, old-approx-kl, approx-kl, clip-fraction, explained-variance
-1055.59619140625, 4469908045824.0, 2689710.25, 2.889281988143921, 2.1966798305511475, 0.4808114029859242, 0.002199709415435791
-1055.43212890625, 6293704146944.0, -56189.66796875, 6.099662780761719, 5.115342617034912, 0.9420687127531621, -0.015791654586791992
-1052.756103515625, 124856524800.0, -119521.1171875, 4.59765100479126, 3.853402853012085, 0.7183845032725418, -0.021531224250793457
-1050.958251953125, 1308049408000.0, -458799.09375, 3.511188507080078, 2.768402099609375, 0.5489766085356996, 0.000629425048828125
-1046.5380859375, 114469076992.0, -258213.046875, 2.0251576900482178, 1.573254942893982, 0.5089546781882905, 0.006777286529541016
-1018.9558715820312, 222166608.0, -6283.33447265625, 2.409696340560913, 1.8760844469070435, 0.470394737364953, -0.03753483295440674
-1034.9539794921875, 39677036.0, 4469.95849609375, 1.9846621751785278, 1.571612000465393, 0.4559576025134639, -0.04616749286651611
-1045.59619140625, 75401576.0, 8561.3310546875, 2.6567606925964355, 2.072628974914551, 0.5040204676619747, -0.03844892978668213
-1046.5218505859375, 57672708.0, 4625.04150390625, 2.264070749282837, 1.7328401803970337, 0.5204678366058751, -0.05388188362121582
-1049.9002685546875, 323819296.0, 21886.642578125, 1.8024476766586304, 1.3571572303771973, 0.4861111112853937, -0.031700730323791504
-1044.7161865234375, 758521792.0, -19000.4375, 1.6504663228988647, 2.4954397678375244, 0.49433479549592, -0.03897738456726074
-1044.8818359375, 166233680.0, 11798.7626953125, 2.3393313884735107, 1.8063220977783203, 0.4795321644398204, -0.05912792682647705
-1040.9599609375, 361191296.0, -8082.11669921875, 2.8414371013641357, 2.189628839492798, 0.5056652050269278, -0.04625058174133301
-1016.9338989257812, 1129697664.0, 39772.76953125, 2.3146798610687256, 1.820097804069519, 0.5012792390689516, 0.0007172226905822754
-1025.4559326171875, 1144583296.0, -27268.181640625, 1.8565336465835571, 1.445249080657959, 0.4749634501181151, 0.007207155227661133
-1039.4559326171875, 441231712.0, 24029.697265625, 2.122390031814575, 1.6325678825378418, 0.49214181303977966, -0.019907116889953613
-1039.3260498046875, 266857472.0, -9463.1533203125, 1.9949172735214233, 1.5485199689865112, 0.5224780706982863, -0.06347179412841797
-1051.4881591796875, 57996388.0, 6350.84033203125, 2.566869020462036, 1.994148850440979, 0.4656432746795186, -0.04018974304199219
-1030.955810546875, 437963904.0, -8454.2197265625, 2.407801628112793, 1.874390959739685, 0.47094298245614036, -0.010566234588623047
-1045.9722900390625, 72340896.0, 2104.578857421875, 2.48490047454834, 1.949074387550354, 0.4908625734479804, -0.04820549488067627
-1032.8779296875, 165274288.0, -5115.71826171875, 1.782737135887146, 1.3921822309494019, 0.499269005499388, -0.042429566383361816
-1020.8781127929688, 223721984.0, -7759.45849609375, 2.477957010269165, 1.9134753942489624, 0.4822733914643003, -0.0375438928604126
-1032.8780517578125, 918292480.0, -23589.7578125, 1.9136663675308228, 1.5018469095230103, 0.46984649122807015, -0.03579151630401611
-1044.89599609375, 2166391808.0, 61258.37109375, 2.720048189163208, 2.1055867671966553, 0.48428362555671156, 0.01858764886856079
-1036.406005859375, 11620357120.0, -92390.8203125, 1.850274682044983, 1.4392709732055664, 0.4897660822199102, -0.015324711799621582
-1036.2518310546875, 32363800576.0, 221693.296875, 2.9431354999542236, 2.288604497909546, 0.48117690075907793, 0.0035929083824157715
-1056.856201171875, 143556165632.0, -165683.671875, 2.595097780227661, 1.9823933839797974, 0.5087719303474092, -0.004515171051025391
-1051.97216796875, 499203014656.0, 883042.6875, 2.7109506130218506, 2.134162187576294, 0.5023757308198694, 0.010315239429473877
-1022.8820190429688, 1255305773056.0, -888003.9375, 1.9022035598754883, 1.4905986785888672, 0.49396929772276627, -0.0018930435180664062
-1042.26416015625, 794013663232.0, 1076733.5, 7.125062465667725, 6.1398396492004395, 0.7898391809379846, 0.0058699846267700195
-1036.93212890625, 1630325309440.0, 1607620.0, 2.02781343460083, 1.5767484903335571, 0.5032894736842105, -0.0024417638778686523
-1054.964111328125, 8387314057216.0, -2189654.5, 1.8194478750228882, 1.3746801614761353, 0.5137061408737249, 0.0017604827880859375
-1047.2939453125, 2771697532928.0, 2159958.25, 1.8896859884262085, 1.4475914239883423, 0.5078581874830681, 0.00216066837310791
-1044.8299560546875, 548803215360.0, -531424.6875, 2.245026111602783, 1.7521251440048218, 0.5153508771929824, -0.0010074377059936523
-1060.8299560546875, 52793749504.0, 287398.875, 2.7865068912506104, 2.170067548751831, 0.5151681288292533, 0.017266154289245605
-1051.420166015625, 12021916672.0, -37252.35546875, 2.174067497253418, 1.6811436414718628, 0.5073099413461852, -0.039135098457336426
-1045.280029296875, 2887670528.0, 21563.951171875, 2.731217622756958, 2.117537260055542, 0.538925439119339, -0.0406956672668457
-1044.958251953125, 2812835072.0, -4471.50830078125, 3.0498101711273193, 2.354151487350464, 0.5157163744432884, -0.05335080623626709
-1050.946044921875, 2929785600.0, -930.1682739257812, 2.0741775035858154, 1.5885218381881714, 0.5149853799426765, -0.041793227195739746
-1056.9359130859375, 1725790720.0, -3240.651611328125, 2.447939157485962, 1.8749183416366577, 0.5297880115216238, -0.03921401500701904
