68000.0,454000.0,680.0,4540.0,0.0,0.0,278.0,68000.0,454000.0,680.0,4540.0,0.0,0.0,174.0,68000.0,454000.0,680.0,4540.0,0.0,0.0,71.0,0.0,1.0,0.18634865,0.8136514,0.5125368,0.48746318,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
348000.0,151000.0,3480.0,1510.0,0.49611231684684753,0.5038876533508301,246.0,348000.0,151000.0,3480.0,1510.0,1.0,0.0,191.0,348000.0,151000.0,3480.0,1510.0,0.0,0.0,63.0,0.49611232,0.50388765,1.0,0.0,0.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
320000.0,156000.0,3200.0,1560.0,0.8846017718315125,0.11539816856384277,215.0,320000.0,156000.0,3200.0,1560.0,0.5024809241294861,0.4975190758705139,207.0,320000.0,156000.0,3200.0,1560.0,0.575951874256134,0.42404815554618835,55.0,0.8846018,0.11539817,0.5024809,0.49751908,0.5759519,0.42404816,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
449000.0,0.0,4490.0,0.0,1.0,0.0,184.0,449000.0,0.0,4490.0,0.0,1.0,0.0,220.0,449000.0,0.0,4490.0,0.0,1.0,0.0,46.0,1.0,0.0,1.0,0.0,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
290000.0,132000.0,2900.0,1320.0,0.8138592839241028,0.18614071607589722,154.0,290000.0,132000.0,2900.0,1320.0,0.6102249026298523,0.3897751271724701,232.0,290000.0,132000.0,2900.0,1320.0,0.5,0.5,37.0,0.8138593,0.18614072,0.6102249,0.38977513,0.5,0.5,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
141000.0,251000.0,1410.0,2510.0,0.0,1.0,126.0,141000.0,251000.0,1410.0,2510.0,0.43950197100639343,0.560498058795929,240.0,141000.0,251000.0,1410.0,2510.0,1.0,0.0,27.0,0.0,1.0,0.43950197,0.56049806,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
192000.0,173000.0,1920.0,1730.0,0.5255032777786255,0.4744967222213745,102.0,192000.0,173000.0,1920.0,1730.0,0.0,0.0,246.0,192000.0,173000.0,1920.0,1730.0,0.12235672026872635,0.8776432871818542,18.0,0.5255033,0.47449672,0.0,0.0,0.12235672,0.8776433,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
88000.0,249000.0,880.0,2490.0,1.0,0.0,80.0,88000.0,249000.0,880.0,2490.0,0.0,1.0,249.0,88000.0,249000.0,880.0,2490.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
197000.0,114000.0,1970.0,1140.0,0.0,1.0,63.0,197000.0,114000.0,1970.0,1140.0,0.8163233399391174,0.18367666006088257,249.0,197000.0,114000.0,1970.0,1140.0,0.9777368903160095,0.02226315066218376,0.0,0.0,1.0,0.81632334,0.18367666,0.9777369,0.02226315,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
253000.0,42000.0,2530.0,420.0,0.6729815006256104,0.3270185589790344,50.0,253000.0,42000.0,2530.0,420.0,0.8690048456192017,0.13099521398544312,246.0,253000.0,42000.0,2530.0,420.0,1.0,0.0,0.0,0.6729815,0.32701856,0.86900485,0.13099521,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
104000.0,177000.0,1040.0,1770.0,1.0,0.0,42.0,104000.0,177000.0,1040.0,1770.0,0.26639309525489807,0.7336068749427795,240.0,104000.0,177000.0,1040.0,1770.0,1.0,0.0,0.0,1.0,0.0,0.2663931,0.7336069,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
257000.0,13000.0,2570.0,130.0,0.6614391207695007,0.33856090903282166,40.0,257000.0,13000.0,2570.0,130.0,1.0,0.0,231.0,257000.0,13000.0,2570.0,130.0,1.0,0.0,0.0,0.6614391,0.3385609,1.0,0.0,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
41000.0,220000.0,410.0,2200.0,1.0,0.0,42.0,41000.0,220000.0,410.0,2200.0,0.0,1.0,220.0,41000.0,220000.0,410.0,2200.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
216000.0,38000.0,2160.0,380.0,0.2792779803276062,0.7207220792770386,49.0,216000.0,38000.0,2160.0,380.0,1.0,0.0,206.0,216000.0,38000.0,2160.0,380.0,0.5147847533226013,0.4852152466773987,0.0,0.27927798,0.7207221,1.0,0.0,0.51478475,0.48521525,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
206000.0,44000.0,2060.0,440.0,0.0,0.0,61.0,206000.0,44000.0,2060.0,440.0,0.8756359219551086,0.12436409294605255,190.0,206000.0,44000.0,2060.0,440.0,0.11435942351818085,0.885640561580658,0.0,0.0,0.0,0.8756359,0.12436409,0.11435942,0.88564056,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
214000.0,35000.0,2140.0,350.0,0.5,0.5,77.0,214000.0,35000.0,2140.0,350.0,1.0,0.0,173.0,214000.0,35000.0,2140.0,350.0,0.4365229904651642,0.5634769797325134,0.0,0.5,0.5,1.0,0.0,0.436523,0.563477,{'0': -5.970000000000001, '1': -5.970000000000001, '2': -5.970000000000001}
